A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/Users/Jimmy-X/Desktop/¶ÌÑ§ÆÚ/designer/worklib/52/physical/pcb.brd!Sat Jul 17 19:21:18 2021!0.00!0.00!21000.00!17000.00!0.01!mils!52!10.400000 mil!2!OUT OF DATE!
S!@\52_lib\.\52\(sch_1):page1_i67@\52_lib\.resistor(chips)!RESISTOR-07010001,1K!R6!./worklib/resistor/chips/chips.prt!RESISTOR!RESISTOR-07010001,1K!RESISTOR!!!F13!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i71@\52_lib\.resistor(chips)!RESISTOR-07010001,1K!R7!./worklib/resistor/chips/chips.prt!RESISTOR!RESISTOR-07010001,1K!RESISTOR!!!F12!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i38@\52_lib\.resistor(chips)!RESISTOR-07010003,10K!R2!./worklib/resistor/chips/chips.prt!RESISTOR!RESISTOR-07010003,10K!RESISTOR!!!F11!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i36@\52_lib\.resistor(chips)!RESISTOR-07010004,330!R1!./worklib/resistor/chips/chips.prt!RESISTOR!RESISTOR-07010004,330!RESISTOR!!!F10!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i61@\52_lib\.resistor(chips)!RESISTOR-07010004,330!R3!./worklib/resistor/chips/chips.prt!RESISTOR!RESISTOR-07010004,330!RESISTOR!!!F9!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i54@\52_lib\.socket2(chips)!SOCKET2-14050003,SOCKET2!P1!./worklib/socket2/chips/chips.prt!SOCKET2!SOCKET2-14050003,SOCKET2!SOCKET2!!!F8!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i58@\52_lib\.socket5(chips)!SOCKET5-14050001,SOCKET5!P3!./worklib/socket5/chips/chips.prt!SOCKET5!SOCKET5-14050001,SOCKET5!SOCKET5!!!F7!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i57@\52_lib\.socket6(chips)!SOCKET6-14050002,SOCKET6!P4!./worklib/socket6/chips/chips.prt!SOCKET6!SOCKET6-14050002,SOCKET6!SOCKET6!!!F6!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i16@\52_lib\.stc89c52(chips)!STC89C52-41020001,STC89C52!U1!./worklib/stc89c52/chips/chips.prt!STC89C52!STC89C52-41020001,STC89C52!STC89C52!!!F5!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i52@\52_lib\.switch(chips)!SWITCH-16100002,SWITCH!SW1!./worklib/switch/chips/chips.prt!SWITCH!SWITCH-16100002,SWITCH!SWITCH!!!F4!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i68@\52_lib\.switch(chips)!SWITCH-16100002,SWITCH!SW2!./worklib/switch/chips/chips.prt!SWITCH!SWITCH-16100002,SWITCH!SWITCH!!!F3!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i66@\52_lib\.switch(chips)!SWITCH-16100002,SWITCH!SW3!./worklib/switch/chips/chips.prt!SWITCH!SWITCH-16100002,SWITCH!SWITCH!!!F2!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i70@\52_lib\.switch(chips)!SWITCH-16100002,SWITCH!SW4!./worklib/switch/chips/chips.prt!SWITCH!SWITCH-16100002,SWITCH!SWITCH!!!F1!!!!!!!
S!@\52_lib\.\52\(sch_1):page1_i53@\52_lib\.switch_lock(chips)!SWITCH_LOCK-16050001,SWITCH_LOA!SWL1!./worklib/switch_lock/chips/chips.prt!SWITCH_LOCK!SWITCH_LOCK-16050001,SWITCH_LOCK!SWITCH_LOCK!!!F0!!!!!!!
